Start = 07141989,End = 07141989,Country:China,Location : Anhui:Hebei:Hubei:Jian ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 1999. 999999,Affected = 100010000.0,Cost = 2789.0,ID = 1989-0087
Start = 09111985,End = 09111985,Country:China,Location : Anhui province,Type:Industrial Accident,Sub_Type:Explosion,Names:Mine,Killed = 28. 999999,Affected = nan,Cost = nan,ID = 1985-0311
Start = 24121999,End = 27121999,Country:Germany,Location : nan,Type:Storm,Sub_Type:Extratropical cyclone,Names:Lothar,Killed = 14. 999999,Affected = nan,Cost = 1600.0,ID = 1999-0571
Start = 23032000,End = 23032000,Country:Nigeria,Location : Near Abuja,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 29. 999999,Affected = nan,Cost = nan,ID = 2000-0140
Start = 00111996,End = 28011997,Country:Burkina Faso,Location : nan,Type:Epidemic,Sub_Type:Bacterial Infectious Diseases,Names:nan,Killed = 63. 999999,Affected = 461.0,Cost = nan,ID = 1996-0210
Start = 10042004,End = 10042004,Country:Russia,Location : Taïjina ((Kemerovo region ...,Type:Industrial Accident,Sub_Type:Explosion,Names:Coal mine,Killed = 46. 999999,Affected = 6.0,Cost = nan,ID = 2004-0155
Start = 00052002,End = 00002002,Country:Viet Nam,Location : An Giang:Kien Giang:Lon ...,Type:Drought,Sub_Type:Drought,Names:nan,Killed = nan,Affected = 1300000.0,Cost = 200.0,ID = 2002-9132
Start = 10021994,End = 12021994,Country:United States,Location : Texas:Lousiana:Arkansas ...,Type:Storm,Sub_Type:Local storm,Names:nan,Killed = 5. 999999,Affected = nan,Cost = nan,ID = 1994-0784
Start = 07092006,End = 07092006,Country:Romania,Location : Near Barlad,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 11. 999999,Affected = 5.0,Cost = nan,ID = 2006-0499
Start = 06122000,End = 06122000,Country:China,Location : On Jialing river:near Na ...,Type:Transport Accident,Sub_Type:Water,Names:Navire,Killed = 43. 999999,Affected = nan,Cost = nan,ID = 2000-0325
Start = 08051999,End = 08051999,Country:Indonesia,Location : Sulawesi,Type:Transport Accident,Sub_Type:Water,Names:Cargo 'Pengibu',Killed = 25. 999999,Affected = nan,Cost = nan,ID = 1999-0697
Start = 09061972,End = 09061972,Country:United States,Location : Canyon Lake (South-Dakota ...,Type:Miscellaneous accident,Sub_Type:Collapse,Names:Dam,Killed = 239. 999999,Affected = nan,Cost = nan,ID = 1972-0090
Start = 08091992,End = 31091992,Country:India,Locations : Uttar Pradesh:Jammu:Mad ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 499. 999999,Affected = 70000.0,Cost = 57.85,ID = 1992-0083
Start = 27121998,End = 19011999,Country:Kenya,Location : Nyanza:Eastern:Rift Val ...,Type:Epidemic,Sub_Type:Bacterial Infectious Diseases,Names:Cholera,Killed = 26. 999999,Affected = 1025.0,Cost = nan,ID = 1998-0597
Start = 06042000,End = 06042000,Country:China,Location : Xiangxiang (Hunan Provinc ...,Type:Miscellaneous accident,Sub_Type:Other,Names:Ponton,Killed = 12. 999999,Affected = nan,Cost = nan,ID = 2000-0290
Start = 16101992,End = 16101992,Country:Japan,Location : Sodegaura,Type:Industrial Accident,Sub_Type:Explosion,Names:Petrol rafinery,Killed = 8. 999999,Affected = 8.0,Cost = 160.5,ID = 1992-0405
Start = 00071995,End = 00071995,Country:Benin,Location : Mono:Zou:Oueme:Atlanti ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 19. 999999,Affected = 123000.0,Cost = 3.1,ID = 1995-0224
Start = 00021978,End = 00021978,Country:United States,Location : nan,Type:Storm,Sub_Type:nan,Names:nan,Killed = 24. 999999,Affected = nan,Cost = nan,ID = 1978-0258
Start = 00071970,End = 00071970,Country:India,Locations : North-East:Western:Nort ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 626. 999999,Affected = 10351000.0,Cost = 101.2,ID = 1970-0034
Start = 16062000,End = 16062000,Country:Mali,Location : Ségou region,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 19. 999999,Affected = 28.0,Cost = nan,ID = 2000-0334
Start = 08082007,End = 13082007,Country:Philippines,Location : Metro Manilla:Luzon prov ...,Type:Storm,Sub_Type:Tropical cyclone,Names:Chedeng and Dodong,Killed = 6. 999999,Affected = 921462.0,Cost = 0.492,ID = 2007-0346
Start = 27121974,End = 27121974,Country:Spain,Location : Malaga,Type:Industrial Accident,Sub_Type:Gas Leak,Names:Chlorine,Killed = 3. 999999,Affected = 129.0,Cost = nan,ID = 1974-0166
Start = 00081978,End = 00081978,Country:Thailand,Location : North:Central:North Eas ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 95. 999999,Affected = 1628400.0,Cost = 400.0,ID = 1978-0106
Start = 19081998,End = 19081998,Country:India,Locations : Mansuna village (Uttar Pr ...,Type:Mass movement wet,Sub_Type:Landslide,Names:nan,Killed = 36. 999999,Affected = nan,Cost = nan,ID = 1998-0262
Start = 13011999,End = 13011999,Country:Viet Nam,Location : Hai Duong,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 10. 999999,Affected = 10.0,Cost = nan,ID = 1999-0034
Start = 11122003,End = 11122003,Country:Iran Islam Rep,Location : Masjed-e Soleyman,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 725.0,Cost = nan,ID = 2003-0649
